message,spam,transformed_text,num_characters,lem_num_characters,num_sentence
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,free entry wkly comp win fa cup final tkts st may text fa receive entry question std txt rate c apply,155,21,1
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",1,freemsg hey darling week word back like fun still tb ok xxx std chgs send rcv,148,16,1
WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,winner valued network customer selected receivea prize reward claim call claim code kl valid hour,158,15,1
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,mobile month u r entitled update latest colour mobile camera free call mobile update co free,154,16,1
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1,six chance win cash pound txt csh send cost p day day tsandcs apply reply hl info,136,17,1
"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,urgent week free membership prize jackpot txt word claim c www dbuk net lccltd pobox ldnw rw,156,17,1
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclub com n qjkgighjjgcbl,149,16,1
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",1,england v macedonia dont miss goal team news txt ur national team eg england try wale scotland txt poboxox w wq,156,21,1
Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1,thanks subscription ringtone uk mobile charged month please confirm replying yes reply charged,159,13,1
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1,rodger burn msg tried call reply sm free nokia mobile free camcorder please call delivery tomorrow,172,16,1
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv,120,18,1
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",1,congrats year special cinema pas call c suprman v matrix starwars etc free bx ip pm dont miss,161,18,1
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",1,valued customer pleased advise following recent review mob awarded bonus prize call,153,12,1
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1,urgent ur awarded complimentary trip eurodisinc trav aco entry claim txt dis morefrmmob shracomorsglsuplt l aj,161,16,1
"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",1,hear new divorce barbie come ken stuff,80,7,1
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,1,please call customer service representative pm guaranteed cash prize,139,9,1
"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",1,free ringtone waiting collected simply text password mix verify get usher britney fml,125,13,1
GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1,gent trying contact last weekend draw show prize guaranteed call claim code k valid hr ppm,159,16,1
You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,1,winner u specially selected receive holiday flight inc speak live operator claim p min,153,14,1
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,1,private account statement show unredeemed bonus point claim call identifier code expires,144,12,1
"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",1,urgent mobile awarded bonus caller prize final try contact u call landline box wr c ppm,157,16,1
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,1,today voda number ending selected receive award match please call quoting claim code standard rate app,156,16,1
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,1,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr sp tyrone,126,17,1
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,1,want get laid tonight want real dogging location sent direct ur mob join uk largest dogging network bt txting gravel nt ec p msg p,162,25,1
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,1,rcv msg chat svc free hardcore service text go u get nothing u must age verify yr network try,155,19,1
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",1,freemsg replied text randy sexy female live local luv hear u netcollex ltd p per msg reply stop end,159,19,1
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,1,customer service annoncement new year delivery waiting please call arrange delivery,124,11,1
You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,1,winner u specially selected receive cash holiday flight inc speak live operator claim,146,13,1
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,1,pls stop bootydelious f inviting friend reply yes see www sm ac u bootydelious stop send stop frnd,152,18,1
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",1,bangbabes ur order way u receive service msg download ur content u goto wap bangb tv ur mobile internet service menu,155,21,1
